Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
exoane_3.5_32B_512_512_1.log,19.67,0.15,78.08,103.66,12.63
exoane_3.5_32B_512_512_8.log,25.20,0.95,487.69,286.14,15.87
exoane_3.5_32B_512_512_64.log,37.33,5.14,2633.36,1105.27,22.15
exoane_3.5_32B_512_512_256.log,88.58,8.67,4439.05,2015.06,53.67
exoane_3.5_32B_4096_1024_1.log,41.35,0.07,74.29,283.74,13.20
exoane_3.5_32B_4096_1024_8.log,60.01,0.40,409.54,1354.56,18.21
exoane_3.5_32B_4096_1024_64.log,156.36,1.23,1257.39,4262.90,46.66
exoane_3.5_32B_4096_1024_256.log,574.63,1.34,1368.60,63264.98,114.18
exoane_3.5_32B_16384_1024_1.log,45.74,0.07,67.17,1381.51,13.55
exoane_3.5_32B_16384_1024_8.log,137.95,0.17,178.15,8786.96,36.30
exoane_3.5_32B_16384_1024_32.log,421.66,0.23,233.14,22566.85,115.05
server.log,,,,,
