Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
exoane_3.5_32B_512_512_1.log,19.72,0.15,77.91,103.53,12.66
exoane_3.5_32B_512_512_8.log,25.33,0.95,485.17,288.47,15.95
exoane_3.5_32B_512_512_64.log,37.19,5.16,2643.60,1027.67,22.21
exoane_3.5_32B_512_512_256.log,89.46,8.58,4395.36,2025.79,54.23
exoane_3.5_32B_4096_1024_1.log,41.53,0.07,73.97,284.22,13.25
exoane_3.5_32B_4096_1024_8.log,60.21,0.40,408.19,1352.05,18.28
exoane_3.5_32B_4096_1024_64.log,167.09,1.15,1176.66,5621.81,48.82
exoane_3.5_32B_4096_1024_256.log,570.36,1.35,1378.85,60933.64,115.07
exoane_3.5_32B_16384_1024_1.log,45.69,0.07,67.24,1386.50,13.53
exoane_3.5_32B_16384_1024_8.log,137.71,0.17,178.46,8786.92,36.23
exoane_3.5_32B_16384_1024_32.log,,,,,
exoane_3.5_32B_16384_1024_64.log,1613.98,0.12,121.82,140503.18,361.35
exoane_3.5_32B_16384_1024_256.log,,,,,
server.log,,,,,
