Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
llama4_maverick_512_512_1_dp.log,22.14,0.14,69.38,365.54,13.72
llama4_maverick_512_512_8_dp.log,23.55,1.02,521.75,408.00,14.56
llama4_maverick_512_512_64_dp.log,31.73,6.05,3098.46,359.73,19.96
llama4_maverick_512_512_256_dp.log,44.76,17.16,8785.48,800.44,27.56
llama4_maverick_4096_1024_1_dp.log,42.83,0.07,71.73,261.89,13.70
llama4_maverick_4096_1024_8_dp.log,46.67,0.51,526.56,384.76,14.83
llama4_maverick_4096_1024_64_dp.log,67.29,2.85,2921.74,1717.93,20.23
llama4_maverick_4096_1024_256_dp.log,130.93,5.87,6006.58,4481.98,38.20
llama4_maverick_32768_1024_1_dp.log,,,,,
llama4_maverick_32768_1024_8_dp.log,,,,,
llama4_maverick_32768_1024_32_dp.log,,,,,
server.log,,,,,
