Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
llama4_maverick_512_512_1_tp.log,18.81,0.16,81.66,37.45,12.19
llama4_maverick_512_512_8_tp.log,25.15,0.95,488.67,98.17,16.20
llama4_maverick_512_512_64_tp.log,27.62,6.95,3558.73,353.49,17.29
llama4_maverick_512_512_256_tp.log,39.70,19.34,9903.52,738.38,24.33
llama4_maverick_4096_1024_1_tp.log,36.33,0.08,84.56,111.74,11.73
llama4_maverick_4096_1024_8_tp.log,50.17,0.48,489.81,397.72,15.95
llama4_maverick_4096_1024_64_tp.log,64.88,2.96,3030.46,1287.24,19.79
llama4_maverick_4096_1024_256_tp.log,120.58,6.37,6521.96,3321.31,35.64
llama4_maverick_32768_1024_1_tp.log,,,,,
llama4_maverick_32768_1024_8_tp.log,,,,,
llama4_maverick_32768_1024_32_tp.log,,,,,
server.log,,,,,
