Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
llama4_maverick_512_512_1_dp.log,21.36,0.14,71.89,348.81,13.25
llama4_maverick_512_512_8_dp.log,22.66,1.06,542.26,396.98,14.00
llama4_maverick_512_512_64_dp.log,30.58,6.28,3214.35,304.27,19.32
llama4_maverick_512_512_256_dp.log,44.15,17.40,8906.76,819.90,27.12
llama4_maverick_4096_1024_1_dp.log,41.04,0.07,74.86,339.14,13.04
llama4_maverick_4096_1024_8_dp.log,44.07,0.54,557.67,427.38,13.94
llama4_maverick_4096_1024_64_dp.log,66.43,2.89,2959.74,2006.45,19.66
llama4_maverick_4096_1024_256_dp.log,105.79,7.26,7433.84,5507.53,29.05
llama4_maverick_32768_1024_1_dp.log,,,,,
llama4_maverick_32768_1024_8_dp.log,,,,,
llama4_maverick_32768_1024_32_dp.log,,,,,
server.log,,,,,
