Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
llama4_maverick_512_512_1_tp.log,17.32,0.17,88.70,38.35,11.22
llama4_maverick_512_512_8_tp.log,23.90,1.00,514.11,105.36,15.37
llama4_maverick_512_512_64_tp.log,26.64,7.21,3690.43,452.67,16.45
llama4_maverick_512_512_256_tp.log,38.97,19.71,10090.66,1098.70,23.21
llama4_maverick_4096_1024_1_tp.log,35.10,0.09,87.51,104.09,11.34
llama4_maverick_4096_1024_8_tp.log,47.34,0.51,519.19,442.81,14.98
llama4_maverick_4096_1024_64_tp.log,58.60,3.28,3355.04,1968.06,17.14
llama4_maverick_4096_1024_256_tp.log,113.16,6.79,6949.93,5280.42,31.63
llama4_maverick_32768_1024_1_tp.log,,,,,
llama4_maverick_32768_1024_8_tp.log,,,,,
llama4_maverick_32768_1024_32_tp.log,,,,,
server.log,,,,,
