Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
qwen3_512_512_1_tp.log,24.40,0.12,62.95,59.59,15.80
qwen3_512_512_8_tp.log,27.93,0.86,439.91,164.11,17.89
qwen3_512_512_64_tp.log,38.57,4.98,2549.03,625.75,23.89
qwen3_512_512_256_tp.log,59.52,12.90,6606.45,1274.56,36.17
qwen3_4096_1024_1_tp.log,49.07,0.06,62.61,181.12,15.81
qwen3_4096_1024_8_tp.log,58.57,0.41,419.59,721.25,18.37
qwen3_4096_1024_64_tp.log,105.68,1.82,1860.43,2165.74,32.20
qwen3_4096_1024_256_tp.log,228.75,3.36,3438.00,6773.75,67.29
qwen3_32768_1024_1_tp.log,,,,,
qwen3_32768_1024_8_tp.log,,,,,
qwen3_32768_1024_32_tp.log,,,,,
server.log,,,,,
