Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
qwen3_512_512_1_tp.log,24.76,0.12,62.04,59.50,16.03
qwen3_512_512_8_tp.log,28.22,0.85,435.45,168.41,18.07
qwen3_512_512_64_tp.log,39.16,4.90,2510.39,645.88,24.24
qwen3_512_512_256_tp.log,59.56,12.89,6601.68,1265.11,36.22
qwen3_4096_1024_1_tp.log,49.77,0.06,61.72,179.92,16.04
qwen3_4096_1024_8_tp.log,58.99,0.41,416.58,716.83,18.51
qwen3_4096_1024_64_tp.log,106.11,1.81,1852.91,2200.22,32.31
qwen3_4096_1024_256_tp.log,228.77,3.36,3437.70,6760.15,67.32
qwen3_32768_1024_1_tp.log,,,,,
qwen3_32768_1024_8_tp.log,,,,,
qwen3_32768_1024_32_tp.log,,,,,
server.log,,,,,
