Filename,Duration,QPS,Output_TPS,Mean_TTFT,Mean_TPOT
llama4_maverick_512_512_1_tp.log,50.98,0.06,30.13,87.44,33.09
llama4_maverick_512_512_8_tp.log,52.88,0.45,232.38,244.11,34.01
llama4_maverick_512_512_64_tp.log,64.87,2.96,1515.44,878.01,40.54
llama4_maverick_512_512_256_tp.log,90.26,8.51,4356.55,1658.36,55.36
llama4_maverick_4096_1024_1_tp.log,239.44,0.01,12.83,254.65,77.77
llama4_maverick_4096_1024_8_tp.log,253.00,0.09,97.14,1051.46,81.34
llama4_maverick_4096_1024_64_tp.log,308.57,0.62,637.15,3816.39,96.34
llama4_maverick_4096_1024_256_tp.log,449.95,1.71,1747.82,10709.77,134.08
llama4_maverick_32768_1024_1_tp.log,,,,,
llama4_maverick_32768_1024_8_tp.log,,,,,
llama4_maverick_32768_1024_32_tp.log,,,,,
server.log,,,,,
